DTWT,20210930,23519.16,23595.12,23120.05,23121.09,0
DTWU,20210930,4115.38,4131.18,4078.9,4079.66,0
DUBS,20210930,99.66,100.93,99.27,100.75,0
DUFD,20210930,60,60,13.33,13.33,0
DUFI,20210930,0.01,6.66,0.01,0.01,0
DUOF,20210930,20,20,13.33,20,0
DUOH,20210930,33.33,33.33,26.66,26.66,0
DUSL,20210930,953.64,955.92,940.15,940.23,0
DUSM,20210930,1607.45,1609.8,1584.02,1584.11,0
DUSS,20210930,1520.36,1522.89,1495.32,1495.34,0
DUTH,20210930,60,60,40,40,0
DUTW,20210930,0.01,0.01,0.01,0.01,0
DVCA,20210930,5.17,34.14,5.17,34.09,0
DVCC,20210930,1.67,33.96,1.67,33.17,0
DVCE,20210930,22.32,1368.8,22.32,1357.32,0
DVCN,20210930,47.49,2896.75,47.49,2896.75,0
DVCQ,20210930,64.85,1774.98,64.85,1774.98,0
DVCS,20210930,4.74,198.07,4.74,198.07,0
DVCT,20210930,117.52,4705.83,117.52,4705.83,0
DVCU,20210930,342.31,10900.12,342.31,7959.57,0
DVCV,20210930,5.1,87.73,5.1,84.92,0
DVCX,20210930,11.52,316.6,11.52,316.16,0
DWCB,20210930,6929.3,6929.3,6792.31,6803.18,0
ESFD,20210930,37.89,44.26,7.32,7.32,0
ESFI,20210930,35.66,35.98,22.61,22.61,0
ESOF,20210930,47.45,48.4,36.3,36.3,0
ESOH,20210930,57.32,57.96,47.77,47.77,0
ESTH,20210930,66.24,66.56,59.23,59.23,0
ESTW,20210930,34.71,36.62,22.29,22.29,0
FBV,20210930,24.85,24.97,24.85,24.92,0
GMI,20210930,29.01,29.83,29,29.44,0
GNX,20210930,554.51,560.31,549.07,557.7,0
HGX,20210930,455.63,455.63,440.8,440.84,0
HIGA,20210930,2,2,2,2,0
HIGC,20210930,4,4,4,4,0
HIGD,20210930,0.01,0.01,0.01,0.01,0
HIGE,20210930,16,16,16,16,0
HIGN,20210930,35,35,35,35,0
HIGQ,20210930,40,40,40,40,0
HIGS,20210930,14,14,14,14,0
HIGU,20210930,83,83,83,83,0
HIGV,20210930,6,6,6,6,0
HSCE,20210930,8663.47,8760.98,8609.84,8726.38,0
HSI,20210930,24494.26,24660.68,24346.75,24575.64,0
HUI,20210930,224.92,233.05,224.92,229.47,0
HVX,20210930,145.41,146.29,143.18,143.18,0
IDX,20210930,2688.68,2695.24,2640.43,2640.54,494204200
INDS,20210930,10911.57,10932.36,10798.59,10805.24,0
INSR,20210930,10845.13,10882.47,10748.58,10748.58,0
IQX,20210930,6187.13,6207.17,6085.89,6086.19,0
IQZ,20210930,15510.95,15555.63,15232.22,15232.38,0
IVX,20210930,1464.96,1466.69,1437.33,1437.51,0
IXB,20210930,852.49,855.69,836.52,836.57,0
IXCO,20210930,10649.05,10700.06,10541.84,10548.07,0
IXE,20210930,554.94,555.76,546.24,546.28,0
IXF,20210930,6393.49,6412.03,6283.39,6284.33,0
